"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"PTGS2",1.15197293934754e-06,-0.265089142370366,0.078,0.17,0.0705249353197959
"PDK3",1.80831329124917e-06,0.344813628281743,0.721,0.635,0.110706748003565
"GDF15",1.93970196067543e-06,-0.252075933680193,0.176,0.294,0.118750493734511
"ELMO1",2.28232521602404e-06,0.352968453673187,0.639,0.576,0.139726232050208
"MTCO1P12",2.36895545440006e-06,0.281996778288836,0.921,0.886,0.145029821873826
"MT2A",2.73348363969727e-06,-0.943200590699722,0.565,0.661,0.167346601905907
"DAAM1",2.78967710756527e-06,-0.384312199682028,0.787,0.86,0.170786822202253
"GNPDA1",2.80054968436051e-06,-0.350108211485383,0.526,0.642,0.171452452226235
"AC090192.2",3.0632995514758e-06,-0.295414245165111,0.078,0.163,0.1875382618409
"TMTC3",3.22060320935462e-06,-0.364123222779013,0.45,0.557,0.197168549079899
